model,accuracy,precision,recall,f1,roc_auc,n,positive_n
Majority-class baseline,0.6734177215189874,0.0,0.0,0.0,0.5,395,129
Baseline legislative model,0.6911392405063291,0.517948717948718,0.7829457364341085,0.6234567901234568,0.7648335956169493,395,129
