supportiveness_group,number_of_bills,advanced_bills,advancement_rate,ci_low,ci_high
Restrictive (1-3),74,16,0.21621621621621623,0.13770335267426506,0.32273939259304707
Neutral or mixed (4-6),204,83,0.4068627450980392,0.34177512981960245,0.4753933292376795
Supportive (7-10),117,30,0.2564102564102564,0.1859156601937761,0.3423924721050348
