source_query,post_owner.id,owner_name,qualifying_rows,unique_post_ids,unique_normalized_texts,repeated_id_rows,repeated_text_rows
datacenter,1748921062389825,Jayden Weekes,73,73,66,0,7
datacenter,996361485605902,Space World,11,11,4,0,7
datacenter,3860509287517997,NRI Page,10,10,3,0,7
datacenter,2529059027456908,Subha Ranjan Behera,8,8,1,0,7
datacenter,1059242329889764,Jazmin Villegas,19,19,12,0,7
datacenter,2017917432110125,Astro Lab,8,8,1,0,7
datacenter,539740588517782,APC by Schneider Electric,21,21,14,0,7
datacenter,1363190422667980,Felipe Iturra,8,8,1,0,7
datacenter,2000186437399681,ইলিয়াস কাঞ্চন হাসান,8,8,1,0,7
datacenter,1694482111220655,COMMANDO Networks,48,48,41,0,7
datacenter,1180451470889226,Zac Anaya,8,8,1,0,7
datacenter,858790899593028,Techworm,12,12,5,0,7
datacenter,958155570094431,Business Time Pakistan,8,8,1,0,7
datacenter,1856525908224055,PK JOBs HUB,8,8,1,0,7
datacenter,1857093618035941,PM Networking,154,154,148,0,6
datacenter,1870342337434588,Lawrence A. Hautea,7,7,1,0,6
datacenter,690561466594024,Business d'Or,25,25,19,0,6
datacenter,1119722396320924,Make America Great Again,8,8,2,0,6
datacenter,1462063678853791,SwitchesMarket,12,12,6,0,6
datacenter,418256601173366,Panduit Asia Pacific,67,67,61,0,6
datacenter,2318149055049494,Newsplusth,12,12,6,0,6
datacenter,983503004477921,The Pennant,10,10,4,0,6
datacenter,1476055456807074,D-Link,9,9,3,0,6
datacenter,738312169295136,Franck Thierry Ketcha,7,7,1,0,6
datacenter,558800250164224,It.home,109,109,103,0,6
datacenter,1200431588406469,Steven Tunks,7,7,1,0,6
datacenter,648014478375966,The Georgia Independent,11,11,5,0,6
datacenter,1363624715557727,I Love Hawaii,7,7,1,0,6
datacenter,942228518162035,AN Saony,7,7,1,0,6
datacenter,2058035584741019,Energy & Infrastructure Today,7,7,1,0,6
datacenter,1093088120278196,Stratex Global Academy,37,37,31,0,6
datacenter,1390995834785482,Scioto Post,9,9,4,0,5
datacenter,1812708703199571,Networking with Israr Extra,12,12,7,0,5
datacenter,1250702229673174,Kathy L. Crawford,6,6,1,0,5
datacenter,1215321800037618,Gabriel Gordon,6,6,1,0,5
datacenter,579922507788031,Information Technology ,17,17,12,0,5
datacenter,1389846706266053,Er.NORACE,6,6,1,0,5
datacenter,1429743924780570,MEP Projects World,9,9,4,0,5
datacenter,329037519625751,Forbes,10,10,5,0,5
datacenter,521790520771110,Multilink Engineering,31,31,26,0,5
datacenter,1234419601499741,Kerry OConnor,6,6,1,0,5
datacenter,896984558463762,NVIDIA AI Infrastructure,184,184,179,0,5
datacenter,1361858929481472,Computer Learning Course ,7,7,2,0,5
datacenter,1472742671218878,Adam Rice,7,7,2,0,5
datacenter,1421498726292872,Tutor Jack Ph,6,6,1,0,5
datacenter,1424264028478178,Hasibul Islam,6,6,1,0,5
datacenter,894445043256860,PlayArcangel Divulgaciones,6,6,1,0,5
datacenter,2101448687058995,Technology Solutions Worldwide,21,21,16,0,5
datacenter,872668862237105,Halim Ahamad,8,8,3,0,5
datacenter,1784342981977924,Piedmont Environmental Council,42,42,37,0,5
datacenter,1792801434739116,DrSharise L Erby,6,6,1,0,5
datacenter,1266204462056959,Nolan's Top Gun Charters,12,12,7,0,5
datacenter,9652858508070801,Engineering Brains,14,14,9,0,5
datacenter,760981186364523,Vellum Facts,6,6,1,0,5
datacenter,1783139732624808,Beyond The Horizon,7,7,2,0,5
datacenter,1508510769855354,Quinn Broadcasting,7,7,2,0,5
datacenter,3676803492580610,Unbox Factory,11,11,6,0,5
datacenter,1145238424164227,DUBAI JOB'S,6,6,1,0,5
datacenter,1790018911486170,Exxact Corporation,13,13,8,0,5
datacenter,27659335210405466,R-Link New Lucena-Mina,7,7,2,0,5
datacenter,902522284535970,INE,12,12,8,0,4
datacenter,1649898499133079,Hi-Tech Optical Fiber,29,29,25,0,4
datacenter,2021229861964413,Developer Creation,6,6,2,0,4
datacenter,945815433603067,No to Marcos forever in politics,7,7,3,0,4
datacenter,1538693576757336,Treasure Coast Scene,5,5,1,0,4
datacenter,2529582624100052,Jose A Roldan Jr.,5,5,1,0,4
datacenter,2235791320186481,Daily Insider,9,9,5,0,4
datacenter,32073785885541815,Trevor S Thompson-Baumann,36,36,32,0,4
datacenter,1656897925074376,INE Security - FKA Elearnsecurity,12,12,8,0,4
datacenter,2696879060511344,Rich Vengels,5,5,1,0,4
datacenter,914780031552871,SMART NET,6,6,2,0,4
datacenter,1488716278728490,SecurityTube,12,12,8,0,4
datacenter,1307231731088379,Econ Trade Hub,24,24,20,0,4
datacenter,355008940719222,Bala Latha Madam,5,5,1,0,4
datacenter,1937068307059374,LiWATT,8,8,4,0,4
datacenter,1539933787002275,Jarrett M Pruitt,5,5,1,0,4
datacenter,1009440624684099,Tyler Hacking,5,5,1,0,4
datacenter,613933254585274,A & D Technology,10,10,6,0,4
datacenter,1047784783748132,Sirat Musa,6,6,2,0,4
datacenter,1616978572766341,Curt Creation,6,6,2,0,4
datacenter,1533169141932144,Facts knowledge,5,5,1,0,4
datacenter,880798020463960,Abay jobs,7,7,3,0,4
datacenter,444551381614472,Instrumentation,12,12,8,0,4
datacenter,1012950753264226,Jobs Malawi,7,7,3,0,4
datacenter,824209832958187,Gas Processing,8,8,4,0,4
