n_topics,perplexity,log_likelihood
4,2002.9294142899269,-1612302.1990720732
5,1986.340376115492,-1610538.364038915
6,1976.1718945973982,-1609449.8999644623
7,1972.5905304350415,-1609065.2061000601
8,1977.5445849108337,-1609597.1633315696
