model,accuracy,precision,recall,f1,roc_auc,n,positive_n
Baseline legislative model,0.6828358208955224,0.45081967213114754,0.7534246575342466,0.5641025641025641,0.7870741131015104,268,73
Social-augmented legislative model,0.7276119402985075,0.5,0.7123287671232876,0.5875706214689266,0.8088514225500527,268,73
