frame,post_count,unique_owners,percent_of_policy_posts,median_engagement,mean_log_engagement,p75_engagement,percent_zero_engagement,duplicate_rate
Regulation and community control,1345,518,67.41854636591479,51.0,3.7850840284409024,336.0,13.903345724907062,0.3003717472118959
Energy and utility costs,1134,470,56.8421052631579,21.5,3.2872648595815583,166.0,15.608465608465607,0.3915343915343915
Water and environmental effects,995,406,49.87468671679198,41.0,3.6394043573584938,234.0,13.5678391959799,0.3628140703517588
AI growth and technological competition,990,466,49.62406015037594,16.0,3.1922127628610126,157.75,17.97979797979798,0.3575757575757576
Economic development and jobs,830,372,41.60401002506266,20.0,3.235344485131614,164.0,19.879518072289155,0.3783132530120482
"Taxes, incentives, and subsidies",406,175,20.350877192982455,17.0,3.0765034038319223,136.0,19.950738916256157,0.49507389162561577
